0.000095575,0.000349448,0
0.000004403,0.000189264,10
0.00000938,0.000002945,20
6.44e-7,0.000002124,30
2.35e-7,0.000125155,40
3.34e-7,0.000001866,50
1.94e-7,7.71e-7,60
1.65e-7,6.78e-7,70
1.66e-7,7.22e-7,80
1.63e-7,6.8e-7,90
1.64e-7,7.31e-7,100
1.63e-7,8.03e-7,110
1.62e-7,7.91e-7,120
1.63e-7,7.98e-7,130
1.77e-7,7.99e-7,140
1.89e-7,8.3e-7,150
1.75e-7,8e-7,160
1.62e-7,8.79e-7,170
1.62e-7,8.76e-7,180
1.63e-7,8.83e-7,190
1.62e-7,9.18e-7,200
1.63e-7,9.13e-7,210
1.65e-7,9.42e-7,220
1.65e-7,9.52e-7,230
1.74e-7,9.39e-7,240
1.74e-7,9.66e-7,250
1.73e-7,9.86e-7,260
1.6e-7,9.82e-7,270
1.64e-7,0.000001064,280
1.62e-7,0.000001069,290
1.62e-7,0.000001146,300
1.65e-7,0.000001056,310
1.65e-7,0.000001118,320
1.91e-7,0.000001145,330
1.64e-7,0.000001143,340
1.63e-7,0.000001148,350
1.64e-7,0.000001165,360
1.62e-7,0.000001233,370
1.9e-7,0.000001226,380
1.61e-7,0.000002001,390
1.64e-7,0.000001195,400
1.64e-7,0.000001219,410
1.64e-7,0.000001226,420
1.74e-7,0.000001287,430
1.62e-7,0.00000128,440
1.66e-7,0.000001306,450
1.62e-7,0.000001317,460
1.62e-7,0.000001339,470
1.74e-7,0.000001358,480
1.62e-7,0.000001335,490
1.63e-7,0.00000139,500
0.000001807,0.000001389,510
1.64e-7,0.000001396,520
1.61e-7,0.000001444,530
1.63e-7,0.000001467,540
1.62e-7,0.000001471,550
1.64e-7,0.000001492,560
0.000001532,0.000001517,570
1.62e-7,0.000001492,580
1.62e-7,0.000001553,590
1.62e-7,0.000001505,600
1.91e-7,0.000001577,610
1.63e-7,0.000001567,620
1.65e-7,0.000001631,630
1.64e-7,0.000001658,640
0.000002886,0.000001632,650
1.85e-7,0.000001655,660
1.63e-7,0.000001674,670
1.64e-7,0.000001638,680
1.62e-7,0.000001701,690
1.62e-7,0.000001708,700
1.62e-7,0.000001738,710
1.63e-7,0.000001749,720
1.63e-7,0.000001756,730
1.62e-7,0.000001756,740
1.63e-7,0.000001808,750
1.61e-7,0.000001804,760
1.63e-7,0.000001852,770
1.65e-7,0.000001806,780
1.62e-7,0.000001847,790
1.63e-7,0.000001849,800
1.62e-7,0.000001923,810
1.65e-7,0.000001894,820
